"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KPADIOAM_00225",136.976172333492,-0.8691154422896,0.164877562372186,-5.27127784875729,1.35477196347219e-07,2.29164209570163e-07
"KPADIOAM_01882",6260.24763637253,-0.353923342453863,0.067203250896581,-5.2664616329129,1.39078296590218e-07,2.35116386602516e-07
"KPADIOAM_01253",41.0647802137985,1.57206150005303,0.298959502806177,5.25844298407279,1.45280213994713e-07,2.45455689759253e-07
"KPADIOAM_01673",217.946346240359,-0.694127122276181,0.132115706218041,-5.25393340539397,1.48884732967548e-07,2.51396975229483e-07
"KPADIOAM_00779",1325.39717071783,-0.377972604451921,0.0720036540568527,-5.24935309746199,1.52634262031875e-07,2.57575951934475e-07
"KPADIOAM_03045",1755.25246617547,0.347147417946159,0.0662265050958196,5.24181998497263,1.5900045170117e-07,2.68160738199671e-07
"KPADIOAM_00937",1454.34359292445,0.389667314359622,0.0743458728407488,5.24127701337641,1.59469104037079e-07,2.6879246621471e-07
"KPADIOAM_00152",73.7820139056605,1.15349308131512,0.22023147922246,5.23763943913735,1.62643411791094e-07,2.73981266207049e-07
"KPADIOAM_00397",11076.7052416182,-0.326496866239098,0.062427094640908,-5.23005063934446,1.69463613436428e-07,2.85302029220904e-07
"KPADIOAM_00189",418.171707977531,-0.552412962491997,0.105693452826184,-5.22655801017736,1.72694654286962e-07,2.90570451883303e-07
"KPADIOAM_02354",1583.82313191925,0.354669164887018,0.0678620188799731,5.22632793336606,1.72909577197915e-07,2.90760836994963e-07
"KPADIOAM_01921",234.387145636485,0.661499510517748,0.126608518325703,5.22476306701596,1.74378250419988e-07,2.93058036147003e-07
"KPADIOAM_01604",3719.72854814003,-0.374767673615061,0.0718290021035997,-5.21749798325933,1.81356197801571e-07,3.04605912474478e-07
"KPADIOAM_02652",3696.06657414614,0.360892217929106,0.0692847740480833,5.2088243468709,1.90040913968301e-07,3.19005223976167e-07
"KPADIOAM_00245",2761.50986397009,0.323551114958047,0.0621267370317634,5.2079206218834,1.90968581331006e-07,3.20374184887072e-07
"KPADIOAM_00244",316.289250894106,0.591845953361788,0.113945494611093,5.19411456663396,2.05696447569982e-07,3.4487954853723e-07
"KPADIOAM_01295",99.9431937980038,-1.07962050964205,0.207985153018996,-5.19085374110067,2.09332015207898e-07,3.50769247770653e-07
